序号,案件组ID,文书唯一ID,省份,城市,区县,发布机关,稽查机构,当事人名称,统一社会信用代码,法定代表人,文书类型,决定书文号,关联处理决定书文号,关联处罚决定书文号,主要违法事实,涉及税种,追缴税款金额,滞纳金金额,罚款金额,没收违法所得金额,处理或处罚结果,决定书作出日期,官方发布日期,第三方收录日期,首次发现日期,最后核验日期,公开完整度,来源级别,核验状态,官方原文链接,附件链接,备用来源链接,页面标题,页面当前状态,备注
114,CASE-aaf4fb329bee0ac0,DOC-3d039b043ff184e8,云南省,西双版纳傣族自治州,,国家税务总局西双版纳傣族自治州税务局第一稽查局,国家税务总局西双版纳傣族自治州税务局第一稽查局,景洪市瑞运机动车经营部,92532801MADNRB5HX4,,税务处理决定书,西税稽处〔2026〕38号,西税稽处〔2026〕38号,,,,,,,,,,2026-08-20,,2026-08-24,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://yunnan.chinatax.gov.cn/art/2026/8/20/art_3978_90762.html,https://yunnan.chinatax.gov.cn/module/download/downfile.jsp?classid=0&filename=a538ce1b763e4efdb3d2805259db0981.pdf,,国家税务总局云南省税务局 通知公告 国家税务总局西双版纳傣族自治州税务局稽查局税务文书送达公告西税稽公告〔2026〕25号,附件正常,Excel 与 CSV 历史数据已合并核对。
80,CASE-d03b3cbfab39c94a,DOC-c210fa50838d9e92,广西壮族自治区,崇左市,,国家税务总局崇左市税务局,国家税务总局崇左市税务局稽查局,广西崇左宜瑞达物资有限公司,91451402MAEN47CA2R,,税务处理决定书,崇市税稽处〔2026〕9号,崇市税稽处〔2026〕9号,崇市税稽罚〔2026〕4号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/t20260820_438837.html,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/P020260820361240756171.DOC,,国家税务总局崇左市税务局稽查局税务文书送达公告_国家税务总局崇左市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
81,CASE-d03b3cbfab39c94a,DOC-13a37f5d738a78be,广西壮族自治区,崇左市,,国家税务总局崇左市税务局,国家税务总局崇左市税务局稽查局,广西崇左宜瑞达物资有限公司,91451402MAEN47CA2R,,税务行政处罚决定书,崇市税稽罚〔2026〕4号,崇市税稽处〔2026〕9号,崇市税稽罚〔2026〕4号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/t20260820_438837.html,https://guangxi.chinatax.gov.cn/chongzuo/xxgk_15621/swjcgg/202608/P020260820361240805029.doc,,国家税务总局崇左市税务局稽查局税务文书送达公告_国家税务总局崇左市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
82,CASE-55a12c21d9caca5d,DOC-a28cbf7b25b44cf0,广西壮族自治区,河池市,,国家税务总局河池市税务局第二稽查局,国家税务总局河池市税务局第二稽查局,广西枧闫建材有限公司,91451221MAK71GJL1B,,税务处理决定书,河市税二稽处〔2026〕15号,河市税二稽处〔2026〕15号,河市税二稽罚〔2026〕8号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/hechi/tzgg_15562/tzgg_15563/202608/t20260819_438798.html,https://guangxi.chinatax.gov.cn/hechi/tzgg_15562/tzgg_15563/202608/P020260819387097637755.doc,,国家税务总局河池市税务局第二稽查局税务文书送达公告(河市税二稽公告〔2026〕41号)_国家税务总局河池市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
83,CASE-55a12c21d9caca5d,DOC-2490775af8d77f70,广西壮族自治区,河池市,,国家税务总局河池市税务局第二稽查局,国家税务总局河池市税务局第二稽查局,广西枧闫建材有限公司,91451221MAK71GJL1B,,税务行政处罚决定书,河市税二稽罚〔2026〕8号,河市税二稽处〔2026〕15号,河市税二稽罚〔2026〕8号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://guangxi.chinatax.gov.cn/hechi/tzgg_15562/tzgg_15563/202608/t20260819_438798.html,https://guangxi.chinatax.gov.cn/hechi/tzgg_15562/tzgg_15563/202608/P020260819387097669062.doc,,国家税务总局河池市税务局第二稽查局税务文书送达公告(河市税二稽公告〔2026〕41号)_国家税务总局河池市税务局,附件正常,Excel 与 CSV 历史数据已合并核对。
74,CASE-7a79d43928651c18,DOC-8109412153b5e636,贵州省,贵阳市,云岩区,国家税务总局贵阳市税务局第一稽查局,国家税务总局贵阳市税务局第一稽查局,马岚,,,税务处理决定书,筑税一稽处〔2026〕25号,筑税一稽处〔2026〕25号,,,个人所得税,27465.72,,,,,,2026-08-19,,2026-08-20,2026-08-26,完整文书,税务机关官网,已核验,https://guizhou.chinatax.gov.cn/sjpd/gys/tzgg_59631/202608/t20260819_90745872.html,,,国家税务总局贵阳市税务局第一稽查局《税务处理决定书》送达公告,正常,Excel 与 CSV 历史数据已合并核对。
87,CASE-d59330905cbca7fa,DOC-8ccaad40891a4710,辽宁省,大连市,,国家税务总局大连市税务局第一稽查局,国家税务总局大连市税务局第一稽查局,大连启林能源有限公司,91210244MA0Y78KL7X,,税务处理决定书,大税一稽处〔2026〕58号,大税一稽处〔2026〕58号,大税一稽罚〔2026〕24号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,http://dalian.chinatax.gov.cn/art/2026/8/19/art_1715_707491.html,,,国家税务总局大连市税务局 通知公告 国家税务总局大连市税务局第一稽查局税务文书送达公告(2026年第49号),正常,Excel 与 CSV 历史数据已合并核对。
116,CASE-d59330905cbca7fa,DOC-17f65fd48e1ea1be,辽宁省,大连市,,国家税务总局大连市税务局第一稽查局,国家税务总局大连市税务局第一稽查局,大连启林能源有限公司,91210244MA0Y78KL7X,,税务行政处罚决定书,大税一稽罚〔2026〕24号,大税一稽处〔2026〕58号,大税一稽罚〔2026〕24号,,,,,,,,,2026-08-19,,2026-08-24,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,http://dalian.chinatax.gov.cn/art/2026/8/19/art_1715_707491.html,,,国家税务总局大连市税务局 通知公告 国家税务总局大连市税务局第一稽查局税务文书送达公告(2026年第49号),正常,Excel 与 CSV 历史数据已合并核对。
88,CASE-531155831112a331,DOC-dc3d41a23eef7bd4,辽宁省,大连市,,国家税务总局大连市税务局第一稽查局,国家税务总局大连市税务局第一稽查局,普兰店区正初物流货运服务中心,92210282MABMFY6L19,,税务处理决定书,大税一稽处〔2026〕59号,大税一稽处〔2026〕59号,大税一稽罚〔2026〕25号,,,,,,,,,2026-08-19,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,http://dalian.chinatax.gov.cn/art/2026/8/19/art_1715_707494.html,,,国家税务总局大连市税务局 通知公告 国家税务总局大连市税务局第一稽查局税务文书送达公告(2026年第50号),正常,Excel 与 CSV 历史数据已合并核对。
117,CASE-531155831112a331,DOC-5328660accad1cea,辽宁省,大连市,,国家税务总局大连市税务局第一稽查局,国家税务总局大连市税务局第一稽查局,普兰店区正初物流货运服务中心,92210282MABMFY6L19,,税务行政处罚决定书,大税一稽罚〔2026〕25号,大税一稽处〔2026〕59号,大税一稽罚〔2026〕25号,,,,,,,,,2026-08-19,,2026-08-24,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,http://dalian.chinatax.gov.cn/art/2026/8/19/art_1715_707494.html,,,国家税务总局大连市税务局 通知公告 国家税务总局大连市税务局第一稽查局税务文书送达公告(2026年第50号),正常,Excel 与 CSV 历史数据已合并核对。
79,CASE-c69d1bcd25ca950c,DOC-867709a55be5ef94,福建省,福州市,,国家税务总局福州市税务局第一稽查局,国家税务总局福州市税务局第一稽查局,福州信源行贸易有限责任公司,91350104MA8TLQ3Q5L,,税务处理决定书,榕税一稽处〔2026〕184号,榕税一稽处〔2026〕184号,,,,,,,,,,2026-08-18,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://fujian.chinatax.gov.cn/fzsswj/xxgk/gsgg/qtl/202608/t20260818_644549.htm,,,"关于送达福州信源行贸易有限责任公司《税务处理决定书》的公告 _
 其他类 _
 国家税务总局福州市税务局",正常,Excel 与 CSV 历史数据已合并核对。
75,CASE-bb526360515ca537,DOC-88d02ecc99e266c8,福建省,福州市,,国家税务总局福州市税务局第一稽查局,国家税务总局福州市税务局第一稽查局,福州元领文化传媒有限公司,91350102MA8U5TKF56,,税务处理决定书,榕税一稽处〔2026〕187号,榕税一稽处〔2026〕187号,榕税一稽罚〔2026〕44号,,,,,,,,,2026-08-17,,2026-08-20,2026-08-26,仅公告送达/仅文号线索,税务机关官网,已核验,https://fujian.chinatax.gov.cn/fzsswj/xxgk/gsgg/qtl/202608/t20260817_644360.htm,,,"关于送达福州元领文化传媒有限公司《税务处理决定书》的公告 _
 其他类 _
 国家税务总局福州市税务局",正常,Excel 与 CSV 历史数据已合并核对。
